symbol,date,repair_month,state,suspension_status,blocks_current_publication,note
1101,2017-04-19,2017-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-22,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-23,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-24,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-25,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
2915,2018-10-26,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
3037,2022-02-22,2022-02,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
4938,2020-08-13,2020-08,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2016-04-27,2016-04,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2016-10-21,2016-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2016-10-24,2016-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2016-12-26,2016-12,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2016-12-27,2016-12,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2021-06-09,2021-06,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2021-10-27,2021-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2022-10-07,2022-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2023-09-15,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
5903,2023-09-20,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
6414,2016-10-12,2016-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
6414,2018-03-30,2018-03,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-09-27,2018-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-09-28,2018-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-10-01,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-10-02,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-10-03,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-10-04,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2018-10-05,2018-10,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-14,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-15,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-18,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-19,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-20,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-21,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
9945,2023-09-22,2023-09,UNRESOLVED_HISTORICAL_SYMBOL_NO_DATA,SUSPENSION_STATUS_UNKNOWN,no,source served the month without this session; no direct exchange evidence reviewed; never filled; breaks historical contiguity (training gap guard); outside current 191-session inference windows
